comment_id,cleaned_text,token_count
126,zulkifli hasan mendorong agar kebutuhan program makan bergizi gratis diprioritaskan berasal dari koperasi desa sehingga ekonomi desa semakin tumbuh masyarakat lokal semakin sejahtera,26
127,dukung perbaikan untuk keberlanjutan program makan bergizi gratis,9
128,dukung program makan bergizi gratis untuk peningkatan gizi anakanak indonesia dan meningkatkan kesejahteraan masyarakat indonesia,30
129,kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak,8
130,zulkifli hasan mendorong agar kebutuhan program makan bergizi gratis diprioritaskan berasal dari koperasi desa sehingga ekonomi desa semakin tumbuh masyarakat lokal semakin sejahtera,16
131,zulkifli hasan mendorong sppg berbelanja bahan pangan di kopdes agar program makan bergizi gratis ikut menggerakkan ekonomi desa,16
132,langkah bgn efisiensikan anggaran program makan bergizi gratis,28
133,membangun keadilan gizi melalui program makan bergizi gratis,30
134,program makan bergizi gratis mbg menjadi salah satu program yang paling dinantikan oleh para pelajar di berbagai sekolah ia juga menilai sejumlah pemberitaan negatif terkait program unggulan presiden prabowo subianto tersebut tidak mencerminkan kondisi yang dirasakan warga,13
135,program makan bergizi gratis mbg menjadi salah satu program yang paling dinantikan oleh para pelajar di berbagai sekolah ia juga menilai sejumlah pemberitaan negatif terkait program unggulan presiden prabowo subianto tersebut tidak mencerminkan kondisi yang dirasakan warga,11
136,anggaran mbg dipangkas lagi ‍ gue baru baca menkeu purbaya yudhi sadewa konfirmasi ada efisiensi lanjutan buat program makan bergizi gratis dari rpt → rpt sekarang bakal dipotong lagi di bawah rpt potensi penghematan sampe rpt atau bahkan lebih yang bikin,12
137,zulkifli hasan mendorong sppg berbelanja bahan pangan di kopdes agar program makan bergizi gratis ikut menggerakkan ekonomi desa,7
138,zulkifli hasan mendorong agar kebutuhan program makan bergizi gratis diprioritaskan berasal dari koperasi desa sehingga ekonomi desa semakin tumbuh masyarakat lokal semakin sejahtera,26
